Ring no,Group Name,Species Name,Gender,Cage,Aviary Name,Proven,Actual Weight
SUNIL 625,Lory,Black capped lory,Male,C19,Lory Aviary,Semi Adult,
ACE IND 177,Lory,Black capped lory,Male,C19,Lory Aviary,Semi Adult,
CKRD 671,Lory,Red Lory ,Female,C20,Cockatoo Aviary,Semi Adult,
CKRD 1581,Lory,Red Lory ,,C20,Cockatoo Aviary,Semi Adult,
CKRE 1270,Lory,Swainson's Lorikeet,Female,C21,Cockatoo Aviary,Semi Adult,
CKRE 1558,Lory,Swainson Lory,Female,C21,Cockatoo Aviary,Semi Adult,
CKRE 1561,Lory,Swainson Lory,,C21,Cockatoo Aviary,Semi Adult,
CKRE 1559,Lory,Swainson Lory,,C21,Cockatoo Aviary,Semi Adult,
CKRE 1562,Lory,Swainson Lory,Male,C21,Cockatoo Aviary,Semi Adult,
CKR 1942,Lory,Red collared lory,Male,C22,Cockatoo Aviary,Semi Adult,
11124,Lory,Red collared lory,Male,C22,Cockatoo Aviary,Semi Adult,
CKRD 1444,Lory,Black capped lory,Female,C23,Cockatoo Aviary,Semi Adult,
CKRD 1540,Lory,Black capped lory,Female,C23,Cockatoo Aviary,Semi Adult,
CKRD 1524,Lory,Black capped lory,Female,C23,Cockatoo Aviary,Semi Adult,
CKRD 1535,Lory,Black capped lory,Male,C23,Cockatoo Aviary,Semi Adult,
CKRC 298,Lory,Red collared lory,Male,C24,Cockatoo Aviary,Semi Adult,
M005,Lory,Black capped lory,Female,C25,Cockatoo Aviary,Semi Adult,
M054,Lory,Black capped lory,Female,C25,Cockatoo Aviary,Semi Adult,
M029,Lory,Black capped lory,Female,C25,Cockatoo Aviary,Semi Adult,
CKRF 1046,Lory,Olive Swainson Lory,Male,C26,Cockatoo Aviary,Semi Adult,
CKRF 397,Lory,Red collared lory,Male,C26,Cockatoo Aviary,Semi Adult,
CKRF 670,Lory,Swainson lory,Female,C26,Cockatoo Aviary,Semi Adult,
CKRF 668,Lory,Swainson lory,Female,C26,Cockatoo Aviary,Semi Adult,
CKRE 2059,Lory,Redcolored lory,Female,C26,Cockatoo Aviary,Semi Adult,
CKRF 400,Lory,Olive Swainson Lory,Female,C26,Cockatoo Aviary,Semi Adult,
CKRD 664,Lory,Red Lory ,,C26,Cockatoo Aviary,Semi Adult,
CKRF 051,Lory,Swainson Lory,Female,C26,Cockatoo Aviary,Semi Adult,
CKRF 1044,Lory,Red Lory ,Male,C26,Cockatoo Aviary,Semi Adult,
CKRF 667,Conure,Red collared lory,Female,C27,Cockatoo Aviary,Semi Adult,
CKRF 666,Conure,Swainson Lory,Female,C27,Cockatoo Aviary,Semi Adult,
CKRE 2113,Conure,Red collared lory,Male,C27,Cockatoo Aviary,Semi Adult,
CKRF 669,Conure,Swainson Lory,Male,C27,Cockatoo Aviary,Semi Adult,
CKRD1628,Lory,Yellow Bibbed Lory,,C28,Cockatoo Aviary,Semi Adult,
CKRF489,Lory,Chattering Lory,,C28,Cockatoo Aviary,Semi Adult,
CKRE 1472,Lory,Red Lory ,,C29,Cockatoo Aviary,Semi Adult,
CKRD 650,Lory,Red Lory ,,C29,Cockatoo Aviary,Semi Adult,
CKRE 1547,Lory,Black capped lory,Male,C29,Cockatoo Aviary,Semi Adult,
CKRD 2167,Lory,Red Lory ,,C29,Cockatoo Aviary,Semi Adult,
ACEIND128,Lorykeet,Red Collared Lorikeet,Female,C30,Cockatoo Aviary,Semi Adult,
CKRD 1568,Lory,Black capped lory,Male,C31,Cockatoo Aviary,Semi Adult,
CKRF 1006,Lory,Red Lory ,Female,C32,Cockatoo Aviary,Semi Adult,
CKRF 1040,Lory,Red Lory ,Female,C32,Cockatoo Aviary,Semi Adult,
CKRF 1014,Lory,Black caped &chatring lory,Female,C32,Cockatoo Aviary,Semi Adult,
CKRF 719,Lory,Red Lory ,Male,C32,Cockatoo Aviary,Semi Adult,
17.063,Lory,Yellow Bibbed Lory,,C33,Cockatoo Aviary,Semi Adult,
CKRD 1580,Lory,Yellow Bibbed Lory,,C33,Cockatoo Aviary,Semi Adult,
CKRF491,Lory,Black capped lory,,C34,Cockatoo Aviary,Semi Adult,
CKRF 492,Lory,Swainson Lory,Female,C35,Cockatoo Aviary,Semi Adult,
CKRE 026,Lory,Swainson Lory,Female,C35,Cockatoo Aviary,Semi Adult,
CKRE 1156,Lory,Swainson Lory,,C35,Cockatoo Aviary,Semi Adult,
ACE IND 086,Lorykeet,Green Napped Lorikeet,Female,C35,Cockatoo Aviary,Semi Adult,
CKRF 379,Lory,Red collared lory,Male,C35,Cockatoo Aviary,Semi Adult,
CKRC 380,Lory,Red Lory ,Female,C36,Cockatoo Aviary,Semi Adult,
CKRD 654,Lory,Yellow Bibbed Lory,,C37,Cockatoo Aviary,Semi Adult,
SUN HG 1646,Lory,Black capped lory,Male,C38,Cockatoo Aviary,Semi Adult,
CKRF 388,Lory,Red Lory ,Male,C39,Cockatoo Aviary,Semi Adult,
CKRF 1041,Lory,Red Lory ,Female,C39,Cockatoo Aviary,Semi Adult,
CKRF 381,Lory,Red Lory ,Female,C39,Cockatoo Aviary,Semi Adult,
CKRF 301,Lory,Red Lory ,Male,C39,Cockatoo Aviary,Semi Adult,
CKRD 663,Lory,Red Lory ,,C40,Cockatoo Aviary,Semi Adult,
CKRE 1232,Lory,Red Lory ,,C40,Cockatoo Aviary,Semi Adult,
CKRD 679,Lory,Red Lory ,,C40,Cockatoo Aviary,Semi Adult,
CKRD 1422,Lory,Red Lory ,,C40,Cockatoo Aviary,Semi Adult,
GVR05,LORY,Chattering Lory,Female,C41,Cockatoo Aviary,Semi Adult,
GVR06,LORY,Chattering Lory,Female,C41,Cockatoo Aviary,Semi Adult,
CKRF 1975,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1995,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1977,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1464,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1980,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1981,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1474,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1051,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKRE 1979,Lory,Swainson Lory,,C42,Cockatoo Aviary,Semi Adult,
CKR D1411,Lory,Yellow Bibbed Lory,Female,C43,Cockatoo Aviary,Semi Adult,
CKRD 1582,Lory,Red Lory ,Male,C44,Cockatoo Aviary,Semi Adult,
CKRD 1534,Lory,Red Lory ,Female,C44,Cockatoo Aviary,Semi Adult,
CKRE 1242,Lory,Red Lory ,Female,C44,Cockatoo Aviary,Semi Adult,
CKRE 1227,Lory,Red Lory ,,C44,Cockatoo Aviary,Semi Adult,
CKRD 1585,Lory,Red Lory ,Male,C44,Cockatoo Aviary,Semi Adult,
CKRD 1564,Lory,Red Lory ,Male,C44,Cockatoo Aviary,Semi Adult,
CKRF 799,Lory,Red Lory ,Male,C45,Cockatoo Aviary,Semi Adult,
CKRC 407,Lory,Yellow Bipped Lory,Male,D01,Lory Aviary,Non proven,
CKRC 422,Lory,Yellow Bipped Lory,Female,D01,Lory Aviary,Non proven,
9000,Lorikeet,Olive Redcollar Lorikeet,Male,D02,Lory Aviary,Non proven,
CKRD 536,Lorikeet,Olive Swainson Lorikeet,Female,D02,Lory Aviary,Non proven,
CKRC 388,Lorikeet,Olive Swainson Lorikeet,Female,D03,Lory Aviary,Non proven,
CKRC 229,Lorikeet,Olive Swainson Lorikeet,Male,D03,Lory Aviary,Non proven,
CKRC 314,Lorikeet,Green Napped Lorikeet,Male,D04,Lory Aviary,Non proven,
ACE IND 137,Lorikeet,Green Napped Lorikeet,Female,D04,Lory Aviary,Non proven,
CKRA 153,Lorikeet,Scaly Breasted Lorikeet,Male,D05,Lory Aviary,Proven,
K 8003,Lorikeet,Scaly Breasted Lorikeet(Olive),Female,D05,Lory Aviary,Proven,
No Ring,Lorikeet,Green Napped Lorikeet,Female,D06,Lory Aviary,Proven,
YUV 314,Lorikeet,Green Napped Lorikeet,Male,D06,Lory Aviary,Proven,
MAR 092,Lory ,Black Capped Lory,Male,D07,Lory Aviary,Proven,
MAR 050,Lory ,Black Capped Lory,Female,D07,Lory Aviary,Proven,
CKRD 1430,Lorikeet,Green Napped Lorikeet,Male,D08,Lory Aviary,Proven,
CKRD 1490,Lorikeet,Green Napped Lorikeet,Female,D08,Lory Aviary,Proven,
ct0097,Lorikeet,Olive Redcollar Lorikeet,Female,D09,Lory Aviary,Proven,
7 DNG 4300,Lorikeet,Olive Swainson Lorikeet,Male,D09,Lory Aviary,Proven,
213,Lory ,Red Lory,Female,D10,Lory Aviary,Non proven,
YUV117,Lory ,Red Lory,Male,D10,Lory Aviary,Non proven,
YUV 400,Lorikeet,Green Napped Lorikeet,Male,D11,Garden,Proven,
YUV 287,Lorikeet,Green Napped Lorikeet,Female,D11,Garden,Proven,
MCR 011,Lorikeet,Red Collared Lorikeet,Male,D12,Lory Aviary,Proven,
MCR 021,Lorikeet,Red Collared Lorikeet,Female,D12,Lory Aviary,Proven,
CKRA 125,Lorikeet,Scaly Breasted Lorikeet,,D13,Lory Aviary,Non proven,
TC U 864,Lorikeet,Scaly Breasted Lorikeet(Olive),,D13,Lory Aviary,Non proven,
No Ring,Lorikeet,Green Napped Lorikeet,Female,D14,Lory Aviary,Proven,
SYY 3032,Lorikeet,Green Napped Lorikeet,Male,D14,Lory Aviary,Proven,
CKRD 1446,Lorikeet,Red Collared Lorikeet,NA,D15,Lory Aviary,Proven,
CKRD 535,Lorikeet,Red Collared Lorikeet,NA,D15,Lory Aviary,Proven,
RRPRASATH22,Lorikeet,Olive scaly breasted lorikeet,Male,D16,Lory Aviary,Non proven,
ACEIND 053,Lorikeet,Scaly Breasted Lorikeet,Female,D16,Lory Aviary,Non proven,
CHIRP 027,Lorikeet,Violet Nacked Lory,Male,D17,Lory Aviary,Proven,
JP 371,Lorikeet,Violet Nacked Lory,Female,D17,Lory Aviary,Proven,
Sunil 651,Lory ,Black Capped Lory,Female,D18,Lory Aviary,Non proven,
Sunil 610,Lory ,Black Capped Lory,Male,D18,Lory Aviary,Non proven,
375,Lory,Duyvenbode lory,Male,D19,Lory Aviary,Non proven,
441,Lory,Black Lory,Female,D19,Lory Aviary,Non proven,
CKRC320,Lory,Swainson's Lorikeet,Female,D20,Lory Aviary,Non proven,
CKRD1488,Lory,Swainson's Lorikeet,Male,D20,Lory Aviary,Non proven,
ABW 5157,Lory,Red Lory,Female,D21,Lory Aviary,Non proven,
218,Lory,Red Lory,Male,D21,Lory Aviary,Non proven,
394,Lory,Duyvenbode lory,Female,D22,Lory Aviary,Non proven,
AM-727,Lory,Yellow-streaked Lory,Male,D22,Lory Aviary,Non proven,
Ckr c 392,Lory,Chattering lory,Female,D23,Lory Aviary,Non proven,
SUNIL 698,Lory,Black capped lory,Male,D23,Lory Aviary,Non proven,
CKR B 215,Lorikeet,Olive swainson lorikeet,Female,D24,Lory Aviary,Proven,
TSNZ 80,Lorikeet,Olive swainson lorikeet,Male,D24,Lory Aviary,Proven,
215,Lory,Red Lory,Male,D25,Lory Aviary,Proven,
ABW 5147,Lory,Red Lory,Female,D25,Lory Aviary,proven,
CKR C 257,Lorikeet,Olive swainson lorikeet,Male,D26,Lory Aviary,Proven,
NO ring,Lorikeet,Swainson's Lorikeet,Female,D26,Lory Aviary,proven,
CKRC283,Lorikeet,Red Collared Lorikeet,Male,D27,Lory Aviary,Proven,
CKRC202,Lorikeet,Red Collared Lorikeet,Female,D27,Lory Aviary,proven,
GF 0 346,Lorikeet,Scaly breasted Lorikeet ,Male,D28,Lory Aviary,Proven,
CKR A 158,Lorikeet,Scaly breasted Lorikeet ,Female,D28,Lory Aviary,Proven,
YUV 111,Red Lory ,Lory,Male,D29,Lory Aviary,Proven,
ABW 5159,Red Lory ,Lory,Female,D29,Lory Aviary,Proven,
CKR A 480,Lorikeet,Swainson's Lorikeet,Male,D30,Lory Aviary,Proven,
CKR A 417,Lorikeet,Swainson's Lorikeet,Female,D30,Lory Aviary,Proven,
204,Lory ,Red Lory,Male,D31,Lory Aviary,Proven,
224,Lory ,Red Lory,Female,D31,Lory Aviary,Proven,
CKR 182,Lory ,Yellow Bibbed Lory,Female,D32,Lory Aviary,Proven,
CKR 344,Lory ,Yellow Bibbed Lory,Male,D32,Lory Aviary,Proven,
CKR B 050,Lorikeet,Swainson's Lorikeet,Female,D33,Lory Aviary,Proven,
SA256,Lorikeet,Swainson's Lorikeet,Male,D33,Lory Aviary,Proven,
CKRC237,Lorikeet,Red Collared Lorikeet,Male,D34,Lory Aviary,Proven,
CKRC246,Lorikeet,Red Collared Lorikeet,Female,D34,Lory Aviary,Proven,
CKR B 042,Lorikeet,Olive swainson lorikeet,Female,D35,Lory Aviary,Proven,
CKRC313,Lorikeet,Swainson's Lorikeet,Male,D35,Lory Aviary,proven,
 ,Lorikeet,Green Napped Lorikeet,Male,D36,Lory Aviary,Proven,
BH7318,Lorikeet,Green Napped Lorikeet,Female,D36,Lory Aviary,Proven,
CKRC277,Lorikeet,Swainson's Lorikeet,Male,D37,Lory Aviary,Proven,
ACEIND130,Lorikeet,Swainson's Lorikeet,Female,D37,Lory Aviary,Proven,
"HL7810, CKR 182",Lorikeet,Red Collared Lorikeet,Male,D38,Lory Aviary,Proven,
"TE4550, CKR B 216",Lorikeet,Red Collared Lorikeet,Female,D38,Lory Aviary,Proven,
CKR 228,Lorikeet,Olive swainson lorikeet,NA,D39,Lory Aviary,Proven,
CKR 378,Lorikeet,Swainson's Lorikeet,NA,D39,Lory Aviary,Proven,
ABW 3899,Lory ,Red Lory,Male,D40,Lory Aviary,Proven,
ABW 5146,Lory ,Red Lory,Female,D40,Lory Aviary,Proven,
CKRD1481,Lorikeet,Swainson's Lorikeet,Male,D41,Lory Aviary,Proven,
CKRD1562,Lorikeet,Swainson's Lorikeet,Female,D41,Lory Aviary,Proven,
CKRC288,Lorykeet,Red Collared Lorikeet,Female,D42,Lory Aviary,Proven,
CKRC281,Lorykeet,Red Collared Lorikeet,Male,D42,Lory Aviary,Proven,
CKR A 443,Lorikeet,Swainson's Lorikeet,Male,D43,Garden,Proven,
GFC 498,Lorikeet,Swainson's Lorikeet,Female,D43,Garden,Proven,
CKRC199,Lorykeet,Red Collared Lorikeet,Female,D44,Lory Aviary,Proven,
CKRC 206,Lorykeet,Red Collared Lorikeet,male,D44,Lory Aviary,Proven,
YUV 293,Lorikeet,Green Napped Lorikeet,Female,D45,Garden,Proven,
CKR C 197,Lorikeet,Swainson's Lorikeet,Male,D45,Garden,Proven,
MVF 845,Lorikeet,Red Collared Lorikeet,Male,D46,Garden,Proven,
BB 858/ 11-126,Lorikeet,Red Collared Lorikeet,Female,D46,Garden,Proven,
217,Lory,Red Lory ,Male,D47,Garden,Proven,
ABW 3921,Lory,Red Lory ,Female,D47,Garden,Proven,
CKRC303,Lorikeet,Red Collared Lorikeet,Male,D48,Garden,Proven,
CKRC291,Lorikeet,Red Collared Lorikeet,Female,D48,Garden,Proven,
SLEEJA 277,Lorikeet,Swainson's lorikeet,Male,E01,Lory Aviary,Non proven,
CKRD 1406,Lorikeet,Swainson's lorikeet,Female,E01,Lory Aviary,Non proven,
395,Lory ,Duyvenbode Lory,Male,E02,Lory Aviary,Proven,
392,Lory ,Duyvenbode Lory,Female,E02,Lory Aviary,Proven,
MAR 083,Lory ,Yellow Bibbed Lory,Male,E03,Lory Aviary,Proven,
CKR 236,Lory ,Yellow Bibbed Lory,Female,E03,Lory Aviary,Proven,
CKRC 241,Lorikeet,Swainson's lorikeet,Female,E04,Lory Aviary,Proven,
CKRC 365,Lorikeet,Swainson's lorikeet,Male,E04,Lory Aviary,Proven,
CKRB 149,Lorikeet,Red Collared Lorikeet,Female,E05,Lory Aviary,Non proven,
CKRC 225,Lorikeet,Red Collared Lorikeet,Male,E05,Lory Aviary,Non proven,
CKRC 399,Lory ,Chattering lory,Female,E06,Lory Aviary,Non proven,
CKRC 395,Lory ,Chattering lory,Male,E06,Lory Aviary,Non proven,
CKRD 1407,Lorikeet,Swainson's lorikeet,Male,E07,Lory Aviary,Non proven,
CKRD 1487,Lorikeet,swainson's lorikeet,Female,E07,Lory Aviary,Non proven,
CKRB 123,Lory ,Yellow Bibbed Lory,,E08,Lory Aviary,Proven,
CKRB 438,Lory ,Yellow Bibbed Lory,,E08,Lory Aviary,Proven,
Sunil 637,Lory ,Black Capped Lory,Female,E09,Lory Aviary,Non proven,
Sunil 664,Lory ,Black Capped Lory,Male,E09,Lory Aviary,Non proven,
CKRC 369,Lorikeet,Swainson's lorikeet,Male,E10,Lory Aviary,Proven,
CKRC 263,Lorikeet,Swainson's lorikeet,Female,E10,Lory Aviary,proven,
NJB 119,Lorikeet,Red Collared Lorikeet,Male,E11,Lory Aviary,Non proven,
NJB 118,Lorikeet,Red Collared Lorikeet,Female,E11,Lory Aviary,Non proven,
PSNZ 84,Lorikeet,Olive Swainson Lorikeet,,E12,Lory Aviary,Proven,
No Ring (Splay leg),Lorikeet,Olive Swainson Lorikeet,Male,E12,Lory Aviary,Proven,
TER22824,Lory,Red Lory,Female,E13,Lory Aviary,Non proven,
22835,Lory,Red Lory,Male,E13,Lory Aviary,Non proven,
No Ring,Lorikeet,Swainson's lorikeet,Female,E14,Lory Aviary,Proven,
CKRC 272,Lorikeet,Swainson's lorikeet,Male,E14,Lory Aviary,Proven,
5153,Lory,Red Lory,Female,E15,Lory Aviary,Proven,
ABW 5141,Lory,Red Lory,Male,E15,Lory Aviary,Proven,
ACE IND 151,Lorikeet,Green Napped Lorikeet,Female,E16,Lory Aviary,Proven,
CKRC 322,Lorikeet,Green Napped Lorikeet,Male,E16,Lory Aviary,Proven,
290,Lory,Black Capped Lory,Female,E17,Lory Aviary,Non proven,
162,Lory,Black Capped Lory,Male,E17,Lory Aviary,Non proven,
207,Lory,Red Lory,Male,E18,Lory Aviary,Proven,
220,Lory,Red Lory,Female,E18,Lory Aviary,Proven,
Sunil 692,Lory,Black capped lory,Male,E19,Lory Aviary,Proven,
JP 514,Lory,Chattering lory,Female,E19,Lory Aviary,Proven,
CKRD1405,Lory,Swainson's Lorikeet,Female,E20,Lory Aviary,Proven,
CKRD1572,Lory,Swainson's Lorikeet,Male,E20,Lory Aviary,Proven,
CKRD1489,Lory,Swainson's Lorikeet,Female,E21,Lory Aviary,Proven,
CKRC249,Lory,Swainson's Lorikeet,Male,E21,Lory Aviary,Proven,
CKRB 141,Lory,Swainson Lory,Male,E22,Lory Aviary,Proven,
CKR B 092,Lory,Swainson Lory,Female,E22,Lory Aviary,Proven,
ABW 5160,Lory,Red Lory,Female,E23,Lory Aviary,Proven,
ABW 5142,Lory,Red Lory,Male,E23,Lory Aviary,Proven,
4l 7858,Lory,Red collared lory,Female,E24,Lory Aviary,Proven,
GYYY O 5078,Lory,Red collared lory,Male,E24,Lory Aviary,Proven,
YO 5067,Lory,Red collared lory,Female,E25,Lory Aviary,Proven,
YMSBRC 773,Lory,Red collared lory,Male,E25,Lory Aviary,Proven,
SUNIL 618,Lory,Black capped lory,Female,E26,Lory Aviary,Proven,
SUNIL 681,Lory,Black capped lory,Male,E26,Lory Aviary,Proven,
ABW 4849,Lory,Red Lory,Male,E27,Lory Aviary,Proven,
ABW 5154,Lory,Red Lory,Female,E27,Lory Aviary,Proven,
CKR B 107,Lory,Swainson Lory,Female,E28,Lory Aviary,Proven,
CKR 364,Lory,Swainson Lory,Male,E28,Lory Aviary,Proven,
CKRC208,Lorikeet,Red Collared Lorikeet,Female,E29,Lory Aviary,Proven,
CKRC204,Lorikeet,Red Collared Lorikeet,male,E29,Lory Aviary,proven,
ABW 5145,Lory,Red Lory,Male,E30,Lory Aviary,Proven,
ABW 5158,Lory,Red Lory,Female,E30,Lory Aviary,Proven,
CKR C 230,Lorikeet,Olive swainson lorikeet, ,E31,Lory Aviary,Proven,
CKR C 266,Lorikeet,Swainson's Lorikeet, ,E31,Lory Aviary,Proven,
ABW 5161,Lory,Red Lory,Male,E32,Lory Aviary,Proven,
202,Lory,Red Lory,Male,E32,Lory Aviary,Proven,
CKR A 127,Lorikeet,Scaly breasted Lorikeet ,Male,E33,Lory Aviary,Proven,
CKR 0110,Lorikeet,Scaly breasted Lorikeet ,Female,E33,Lory Aviary,Proven,
CKR 221,Lorikeet,Swainson's Lorikeet,Male,E34,Lory Aviary,Proven,
CKR 361,Lorikeet,Swainson's Lorikeet,Female,E34,Lory Aviary,Proven,
CKRD1478,Lorikeet,Red Collared Lorikeet,Male,E35,Lory Aviary,Proven,
CKRD1583,Lorikeet,Red Collared Lorikeet,Female,E35,Lory Aviary,Proven,
CKR B 114,Lorikeet,Olive swainson lorikeet,Female,E36,Lory Aviary,Proven,
CKRD1476,Lorikeet,Swainson's Lorikeet,Male,E36,Lory Aviary,Proven,
YUV 304,Lorikeet,Green Napped Lorikeet,Male,E37,Lory Aviary,Proven,
YUV 398,Lorikeet,Green Napped Lorikeet,Female,E37,Lory Aviary,Proven,
CKR 316,Lorikeet,Swainson's Lorikeet,Female,E38,Lory Aviary,Proven,
CKR 248,Lorikeet,Swainson's Lorikeet,Male,E38,Lory Aviary,Proven,
PABW 324,Lory,Red Lory,Female,E39,Lory Aviary,Proven,
YUV 40,Lory,Red Lory,Male,E39,Lory Aviary,Proven,
CKR C 411,Lorikeet,Swainson's Lorikeet,Female,E40,Lory Aviary,Proven,
CKR C 309,Lorikeet,Swainson's Lorikeet,Male,E40,Lory Aviary,Proven,
SVC107,Lorikeet,Red Collared Lorikeet,Male,E41,Lory Aviary,Proven,
7B3328,Lorikeet,Red Collared Lorikeet,Female,E41,Lory Aviary,Proven,
CKRA 438,Lory,Swainson Lory,,E42,Lory Aviary,Proven,
CKRA 435,Lory,Swainson Lory,,E42,Lory Aviary,Proven,
CKRC 315,Lory,Red collared lory,,E43,Lory Aviary,Proven,
CKRC 294,Lory,Red collared lory,,E43,Lory Aviary,Proven,
CKR 354,Lorikeet,Green Napped Lorikeet,Female,E44,Garden,Proven,
CKR 073,Lorikeet,Green Napped Lorikeet,Male,E44,Garden,Proven,
AP 8377,Lorikeet,Scaly breasted Lorikeet ,Female,E45,Garden,Proven,
TC 6A Q 238,Lorikeet,Scaly breasted Lorikeet (Olive),Male,E45,Garden,Proven,
KOA J1600,Lorikeet,Green Napped Lorikeet,Male,E46,Garden,Proven,
ACE IND 87,Lorikeet,Green Napped Lorikeet,Female,E46,Garden,Proven,
CKRD1589,Lorikeet,Red Collared Lorikeet,Male,E47,Garden,Proven,
CKRC222,Lorikeet,Red Collared Lorikeet,Female,E47,Garden,Proven,
CKR 351,Lorikeet,Green Napped Lorikeet,Female,E48,Garden,Proven,
CKR 156,Lorikeet,Green Napped Lorikeet,Male,E48,Garden,Proven,
3037,Lory,Black capped lory,Male,F01,Lory Aviary,Semi Adult,
2437,Lory,Black capped lory,Female,F01,Lory Aviary,Semi Adult,
CKRD 1602,Lory,Red Lory ,Female,F02,Lory Aviary,Semi Adult,
CKRD 1609,Lory,Red Lory ,Male,F02,Lory Aviary,Semi Adult,
CKRE 1230,Lory,Olive Swainson Lory,Male,F03,Lory Aviary,Semi Adult,
CKRF 180,Lory,Swainson Lory,Female,F03,Lory Aviary,Semi Adult,
CKRD 388,Lory,Red Lory ,Female,F04,Lory Aviary,Semi Adult,
CKRF 389,Lory,Red Lory ,Male,F04,Lory Aviary,Semi Adult,
CKRC306,Lorikeet,Red Collared Lorikeet,Male,F05,Garden,Proven,
CKRC279,Lorikeet,Red Collared Lorikeet,Female,F05,Garden,Proven,
CKRD 681,Lory,Red Lory ,Female,F06,Lory Aviary,Semi Adult,
CKRD 678,Lory,Red Lory ,Male,F06,Lory Aviary,Semi Adult,
CKRF 136,Lory,Swainson Lory,Female,F07,Lory Aviary,Semi Adult,
CKRF 399,Lory,Olive Swainson Lory,Male,F07,Lory Aviary,Semi Adult,
CKRD 1443,Lory,Red Lory ,Male,F08,Lory Aviary,Semi Adult,
7K8807,Lorykeet,Olive swainson lorikeet,Male,F09,Lory Aviary,Semi Adult,
PABW 375,Lory,Red Lory ,Female,F10,Lory Aviary,Semi Adult,
YUV 39,Lory ,Red Lory,Male,F10,Lory Aviary,Semi Adult,
CKRE 1950,Lory,Olive Swainson Lory,Female,F11,Lory Aviary,Semi Adult,
221,Lory,Red Lory ,Female,F12,Lory Aviary,Semi Adult,
249,Lory,Black capped lory,Male,F13,Lory Aviary,Semi Adult,
CKRF 383,Lory,Olive Swainson Lory,Female,F14,Lory Aviary,Semi Adult,
CKRF 387,Lory,Olive Swainson Lory,Male,F14,Lory Aviary,Semi Adult,
CKRF 1011,Lory,Red Lory ,Female,F15,Lory Aviary,Semi Adult,
CKRD 637,Lory,Red Lory ,Male,F15,Lory Aviary,Semi Adult,
CKRF 337,Lory,Swainson Lory,Female,F16,Lory Aviary,Semi Adult,
CKRF 072,Lory,Swainson Lory,Male,F16,Lory Aviary,Semi Adult,
CKRF 497,Lory,Red collared lory,Female,F17,Lory Aviary,Semi Adult,
CKRF 475,Lory,Red collared lory,Male,F17,Lory Aviary,Semi Adult,
CKRF 338,Lory,Red collared lory,Female,F19,Lory Aviary,Semi Adult,
CKRF 336,Lory,Red collared lory,Male,F19,Lory Aviary,Semi Adult,
CKRD 694,Lory,Swainson Lory,Female,F20,Lory Aviary,Semi Adult,
CKRF 335,Lory,Red collared lory,Male,F21,Lory Aviary,Semi Adult,
CKRF 340,Lory,Red collared lory,Female,F21,Lory Aviary,Semi Adult,
TK9114,Lorykeet,Olive red collar lorikeet,Male,F22,Lory Aviary,Semi Adult,
TK 9079,Lorikeet,Olive Redcollar lorikeet,Female,F22,Lory Aviary,Semi Adult,
CKRD 572,Lory,Olive Swainson Lory,Female,F23,Lory Aviary,Semi Adult,
ACEIND 115,Lorykeet,Red Collared Lorikeet,Female,F24,Lory Aviary,Semi Adult,
CKRE 1894,Lory,Red collared lory,Male,F24,Lory Aviary,Semi Adult,
CKRD 579,Lorikeet,Olive swainson lorikeet,Female,F25,Lory Aviary,Semi Adult,
7L 6689,Lorikeet,Olive swainson lorikeet,Male,F25,Lory Aviary,Semi Adult,
CKRD 508,Lory,Red Lory ,Male,F26,Lory Aviary,Semi Adult,
CKRD 680,Lory,Red Lory ,Female,F26,Lory Aviary,Semi Adult,
TWN131013,Lorykeet,Red Collared Lorikeet,Female,F27,Lory Aviary,Semi Adult,
CKRE 1215,Lory,Red collared lory,Male,F27,Lory Aviary,Semi Adult,
T066D159,Lorykeet,Olive swainson lorikeet,Male,F28,Lory Aviary,Semi Adult,
CKRD 661,Lory,Red Lory ,Female,F29,Lory Aviary,Semi Adult,
ACIND163,Lory,Red Lory ,Male,F29,Lory Aviary,Semi Adult,
CKRC 248,Lorikeet,Swainson's Lorikeet,Male,F30,Lory Aviary,Semi Adult,
ACE IND 148,Lorikeet,Swainson's Lorikeet,Female,F30,Lory Aviary,Semi Adult,
CKRE 1853,Lory,Red collared lory,Male,F31,Lory Aviary,Semi Adult,
CKR 1941,Lorykeet,Red Collared Lorikeet,Female,F31,Lory Aviary,Semi Adult,
CKRD 1526,Lory,Red Lory ,Male,F32,Lory Aviary,Semi Adult,
CKRD 660,Lory,Red Lory ,Female,F32,Lory Aviary,Semi Adult,
CKRD 1576,Lorikeet,Olive swainson lorikeet,Male,F33,Lory Aviary,Semi Adult,
7 L6697,Lorikeet,Olive swainson lorikeet,Female,F33,Lory Aviary,Semi Adult,
CKRC 193,Lory,Violet Necked Lory,Female,F34,Lory Aviary,Semi Adult,
