Group Name,Aviary Name,Cage,Species Name,Ring no,Gender,Proven,Weight
Lory,Lory Aviary,C18,Chattering Lory,CKRD 609,Female,Semi Adult,
Lory,Lory Aviary,C19,Black capped lory,SUNIL 625,Male,Semi Adult,
Lory,Lory Aviary,C19,Black capped lory,ACE IND 177,Male,Semi Adult,
Lory,Cockatoo Aviary,C20,Red Lory ,CKRD 671,Female,Semi Adult,
Lory,Cockatoo Aviary,C20,Red Lory ,CKRD 1581,,Semi Adult,
Lory,Cockatoo Aviary,C21,Swainson's Lorikeet,CKRE 1270,Female,Semi Adult,
Lory,Cockatoo Aviary,C21,Swainson Lory,CKRE 1558,Female,Semi Adult,
Lory,Cockatoo Aviary,C21,Swainson Lory,CKRE 1561,,Semi Adult,
Lory,Cockatoo Aviary,C21,Swainson Lory,CKRE 1559,,Semi Adult,
Lory,Cockatoo Aviary,C21,Swainson Lory,CKRE 1562,Male,Semi Adult,
Lory,Cockatoo Aviary,C22,Red collared lory,CKR 1942,Male,Semi Adult,
Lory,Cockatoo Aviary,C22,Red collared lory,11124,Male,Semi Adult,
Lory,Cockatoo Aviary,C23,Black capped lory,CKRD 1444,Female,Semi Adult,
Lory,Cockatoo Aviary,C23,Black capped lory,CKRD 1540,Female,Semi Adult,
Lory,Cockatoo Aviary,C23,Black capped lory,CKRD 1524,Female,Semi Adult,
Lory,Cockatoo Aviary,C23,Black capped lory,CKRD 1535,Male,Semi Adult,
Lory,Cockatoo Aviary,C24,Red collared lory,CKRC 298,Male,Semi Adult,
Lory,Cockatoo Aviary,C25,Black capped lory,M005,Female,Semi Adult,
Lory,Cockatoo Aviary,C25,Black capped lory,M054,Female,Semi Adult,
Lory,Cockatoo Aviary,C25,Black capped lory,M029,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Olive Swainson Lory,CKRF 1046,Male,Semi Adult,
Lory,Cockatoo Aviary,C26,Red collared lory,CKRF 397,Male,Semi Adult,
Lory,Cockatoo Aviary,C26,Swainson lory,CKRF 670,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Swainson lory,CKRF 668,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Redcolored lory,CKRE 2059,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Olive Swainson Lory,CKRF 400,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Red Lory ,CKRD 664,,Semi Adult,
Lory,Cockatoo Aviary,C26,Swainson Lory,CKRF 051,Female,Semi Adult,
Lory,Cockatoo Aviary,C26,Red Lory ,CKRF 1044,Male,Semi Adult,
Conure,Cockatoo Aviary,C27,Red collared lory,CKRF 667,Female,Semi Adult,
Conure,Cockatoo Aviary,C27,Swainson Lory,CKRF 666,Female,Semi Adult,
Conure,Cockatoo Aviary,C27,Red collared lory,CKRE 2113,Male,Semi Adult,
Conure,Cockatoo Aviary,C27,Swainson Lory,CKRF 669,Male,Semi Adult,
Lory,Cockatoo Aviary,C28,Yellow Bibbed Lory,CKRD1628,,Semi Adult,
Lory,Cockatoo Aviary,C28,Chattering Lory,CKRF489,,Semi Adult,
Lory,Cockatoo Aviary,C29,Red Lory ,CKRE 1472,,Semi Adult,
Lory,Cockatoo Aviary,C29,Red Lory ,CKRD 650,,Semi Adult,
Lory,Cockatoo Aviary,C29,Black capped lory,CKRE 1547,Male,Semi Adult,
Lory,Cockatoo Aviary,C29,Red Lory ,CKRD 2167,,Semi Adult,
Lorykeet,Cockatoo Aviary,C30,Red Collared Lorikeet,ACEIND128,Female,Semi Adult,
Lory,Cockatoo Aviary,C31,Black capped lory,CKRD 1568,Male,Semi Adult,
Lory,Cockatoo Aviary,C32,Red Lory ,CKRF 1006,Female,Semi Adult,
Lory,Cockatoo Aviary,C32,Red Lory ,CKRF 1040,Female,Semi Adult,
Lory,Cockatoo Aviary,C32,Black caped &chatring lory,CKRF 1014,Female,Semi Adult,
Lory,Cockatoo Aviary,C32,Red Lory ,CKRF 719,Male,Semi Adult,
Lory,Cockatoo Aviary,C33,Yellow Bibbed Lory,17.063,,Semi Adult,
Lory,Cockatoo Aviary,C33,Yellow Bibbed Lory,CKRD 1580,,Semi Adult,
Lory,Cockatoo Aviary,C34,Black capped lory,CKRF491,,Semi Adult,
Lory,Cockatoo Aviary,C35,Swainson Lory,CKRF 492,Female,Semi Adult,
Lory,Cockatoo Aviary,C35,Swainson Lory,CKRE 026,Female,Semi Adult,
Lory,Cockatoo Aviary,C35,Swainson Lory,CKRE 1156,,Semi Adult,
Lorykeet,Cockatoo Aviary,C35,Green Napped Lorikeet,ACE IND 086,Female,Semi Adult,
Lory,Cockatoo Aviary,C35,Red collared lory,CKRF 379,Male,Semi Adult,
Lory,Cockatoo Aviary,C36,Red Lory ,CKRC 380,Female,Semi Adult,
Lory,Cockatoo Aviary,C37,Yellow Bibbed Lory,CKRD 654,,Semi Adult,
Lory,Cockatoo Aviary,C38,Black capped lory,SUN HG 1646,Male,Semi Adult,
Lory,Cockatoo Aviary,C39,Red Lory ,CKRF 388,Male,Semi Adult,
Lory,Cockatoo Aviary,C39,Red Lory ,CKRF 1041,Female,Semi Adult,
Lory,Cockatoo Aviary,C39,Red Lory ,CKRF 381,Female,Semi Adult,
Lory,Cockatoo Aviary,C39,Red Lory ,CKRF 301,Male,Semi Adult,
Lory,Cockatoo Aviary,C40,Red Lory ,CKRD 663,,Semi Adult,
Lory,Cockatoo Aviary,C40,Red Lory ,CKRE 1232,,Semi Adult,
Lory,Cockatoo Aviary,C40,Red Lory ,CKRD 679,,Semi Adult,
Lory,Cockatoo Aviary,C40,Red Lory ,CKRD 1422,,Semi Adult,
LORY,Cockatoo Aviary,C41,Chattering Lory,GVR05,Female,Semi Adult,
LORY,Cockatoo Aviary,C41,Chattering Lory,GVR06,Female,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRF 1975,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1995,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1977,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1464,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1980,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1981,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1474,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1051,,Semi Adult,
Lory,Cockatoo Aviary,C42,Swainson Lory,CKRE 1979,,Semi Adult,
Lory,Cockatoo Aviary,C43,Yellow Bibbed Lory,CKR D1411,Female,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRD 1582,Male,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRD 1534,Female,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRE 1242,Female,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRE 1227,,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRD 1585,Male,Semi Adult,
Lory,Cockatoo Aviary,C44,Red Lory ,CKRD 1564,Male,Semi Adult,
Lory,Cockatoo Aviary,C45,Red Lory ,CKRF 799,Male,Semi Adult,
Lory,Lory Aviary,D01,Yellow Bipped Lory,CKRC 407,Male,Non proven,
Lory,Lory Aviary,D01,Yellow Bipped Lory,CKRC 422,Female,Non proven,
Lorikeet,Lory Aviary,D02,Olive Redcollar Lorikeet,9000,Male,Non proven,
Lorikeet,Lory Aviary,D02,Olive Swainson Lorikeet,CKRD 536,Female,Non proven,
Lorikeet,Lory Aviary,D03,Olive Swainson Lorikeet,CKRC 388,Female,Non proven,
Lorikeet,Lory Aviary,D03,Olive Swainson Lorikeet,CKRC 229,Male,Non proven,
Lorikeet,Lory Aviary,D04,Green Napped Lorikeet,CKRC 314,Male,Non proven,
Lorikeet,Lory Aviary,D04,Green Napped Lorikeet,ACE IND 137,Female,Non proven,
Lorikeet,Lory Aviary,D05,Scaly Breasted Lorikeet,CKRA 153,Male,Proven,
Lorikeet,Lory Aviary,D05,Scaly Breasted Lorikeet(Olive),K 8003,Female,Proven,
Lorikeet,Lory Aviary,D06,Green Napped Lorikeet,No Ring,Female,Proven,
Lorikeet,Lory Aviary,D06,Green Napped Lorikeet,YUV 314,Male,Proven,
Lory ,Lory Aviary,D07,Black Capped Lory,MAR 092,Male,Proven,
Lory ,Lory Aviary,D07,Black Capped Lory,MAR 050,Female,Proven,
Lorikeet,Lory Aviary,D08,Green Napped Lorikeet,CKRD 1430,Male,Proven,
Lorikeet,Lory Aviary,D08,Green Napped Lorikeet,CKRD 1490,Female,Proven,
Lorikeet,Lory Aviary,D09,Olive Redcollar Lorikeet,ct0097,Female,Proven,
Lorikeet,Lory Aviary,D09,Olive Swainson Lorikeet,7 DNG 4300,Male,Proven,
Lory ,Lory Aviary,D10,Red Lory,213,Female,Non proven,
Lory ,Lory Aviary,D10,Red Lory,YUV117,Male,Non proven,
Lorikeet,Garden,D11,Green Napped Lorikeet,YUV 400,Male,Proven,
Lorikeet,Garden,D11,Green Napped Lorikeet,YUV 287,Female,Proven,
Lorikeet,Lory Aviary,D12,Red Collared Lorikeet,MCR 011,Male,Proven,
Lorikeet,Lory Aviary,D12,Red Collared Lorikeet,MCR 021,Female,Proven,
Lorikeet,Lory Aviary,D13,Scaly Breasted Lorikeet,CKRA 125,,Non proven,
Lorikeet,Lory Aviary,D13,Scaly Breasted Lorikeet(Olive),TC U 864,,Non proven,
Lorikeet,Lory Aviary,D14,Green Napped Lorikeet,No Ring,Female,Proven,
Lorikeet,Lory Aviary,D14,Green Napped Lorikeet,SYY 3032,Male,Proven,
Lorikeet,Lory Aviary,D15,Red Collared Lorikeet,CKRD 1446,NA,Proven,
Lorikeet,Lory Aviary,D15,Red Collared Lorikeet,CKRD 535,NA,Proven,
Lorikeet,Lory Aviary,D16,Olive scaly breasted lorikeet,RRPRASATH22,Male,Non proven,
Lorikeet,Lory Aviary,D16,Scaly Breasted Lorikeet,ACEIND 053,Female,Non proven,
Lorikeet,Lory Aviary,D17,Violet Nacked Lory,CHIRP 027,Male,Proven,
Lorikeet,Lory Aviary,D17,Violet Nacked Lory,JP 371,Female,Proven,
Lory ,Lory Aviary,D18,Black Capped Lory,Sunil 651,Female,Non proven,
Lory ,Lory Aviary,D18,Black Capped Lory,Sunil 610,Male,Non proven,
Lory,Lory Aviary,D19,Duyvenbode lory,375,Male,Non proven,
Lory,Lory Aviary,D19,Black Lory,441,Female,Non proven,
Lory,Lory Aviary,D20,Swainson's Lorikeet,CKRC320,Female,Non proven,
Lory,Lory Aviary,D20,Swainson's Lorikeet,CKRD1488,Male,Non proven,
Lory,Lory Aviary,D21,Red Lory,ABW 5157,Female,Non proven,
Lory,Lory Aviary,D21,Red Lory,218,Male,Non proven,
Lory,Lory Aviary,D22,Duyvenbode lory,394,Female,Non proven,
Lory,Lory Aviary,D22,Yellow-streaked Lory,AM-727,Male,Non proven,
Lory,Lory Aviary,D23,Chattering lory,Ckr c 392,Female,Non proven,
Lory,Lory Aviary,D23,Black capped lory,SUNIL 698,Male,Non proven,
Lorikeet,Lory Aviary,D24,Olive swainson lorikeet,CKR B 215,Female,Proven,
Lorikeet,Lory Aviary,D24,Olive swainson lorikeet,TSNZ 80,Male,Proven,
Lory,Lory Aviary,D25,Red Lory,215,Male,Proven,
Lory,Lory Aviary,D25,Red Lory,ABW 5147,Female,proven,
Lorikeet,Lory Aviary,D26,Olive swainson lorikeet,CKR C 257,Male,Proven,
Lorikeet,Lory Aviary,D26,Swainson's Lorikeet,NO ring,Female,proven,
Lorikeet,Lory Aviary,D27,Red Collared Lorikeet,CKRC283,Male,Proven,
Lorikeet,Lory Aviary,D27,Red Collared Lorikeet,CKRC202,Female,proven,
Lorikeet,Lory Aviary,D28,Scaly breasted Lorikeet ,GF 0 346,Male,Proven,
Lorikeet,Lory Aviary,D28,Scaly breasted Lorikeet ,CKR A 158,Female,Proven,
Red Lory ,Lory Aviary,D29,Lory,YUV 111,Male,Proven,
Red Lory ,Lory Aviary,D29,Lory,ABW 5159,Female,Proven,
Lorikeet,Lory Aviary,D30,Swainson's Lorikeet,CKR A 480,Male,Proven,
Lorikeet,Lory Aviary,D30,Swainson's Lorikeet,CKR A 417,Female,Proven,
Lory ,Lory Aviary,D31,Red Lory,204,Male,Proven,
Lory ,Lory Aviary,D31,Red Lory,224,Female,Proven,
Lory ,Lory Aviary,D32,Yellow Bibbed Lory,CKR 182,Female,Proven,
Lory ,Lory Aviary,D32,Yellow Bibbed Lory,CKR 344,Male,Proven,
Lorikeet,Lory Aviary,D33,Swainson's Lorikeet,CKR B 050,Female,Proven,
Lorikeet,Lory Aviary,D33,Swainson's Lorikeet,SA256,Male,Proven,
Lorikeet,Lory Aviary,D34,Red Collared Lorikeet,CKRC237,Male,Proven,
Lorikeet,Lory Aviary,D34,Red Collared Lorikeet,CKRC246,Female,Proven,
Lorikeet,Lory Aviary,D35,Olive swainson lorikeet,CKR B 042,Female,Proven,
Lorikeet,Lory Aviary,D35,Swainson's Lorikeet,CKRC313,Male,proven,
Lorikeet,Lory Aviary,D36,Green Napped Lorikeet, ,Male,Proven,
Lorikeet,Lory Aviary,D36,Green Napped Lorikeet,BH7318,Female,Proven,
Lorikeet,Lory Aviary,D37,Swainson's Lorikeet,CKRC277,Male,Proven,
Lorikeet,Lory Aviary,D37,Swainson's Lorikeet,ACEIND130,Female,Proven,
Lorikeet,Lory Aviary,D38,Red Collared Lorikeet,"HL7810, CKR 182",Male,Proven,
Lorikeet,Lory Aviary,D38,Red Collared Lorikeet,"TE4550, CKR B 216",Female,Proven,
Lorikeet,Lory Aviary,D39,Olive swainson lorikeet,CKR 228,NA,Proven,
Lorikeet,Lory Aviary,D39,Swainson's Lorikeet,CKR 378,NA,Proven,
Lory ,Lory Aviary,D40,Red Lory,ABW 3899,Male,Proven,
Lory ,Lory Aviary,D40,Red Lory,ABW 5146,Female,Proven,
Lorikeet,Lory Aviary,D41,Swainson's Lorikeet,CKRD1481,Male,Proven,
Lorikeet,Lory Aviary,D41,Swainson's Lorikeet,CKRD1562,Female,Proven,
Lorykeet,Lory Aviary,D42,Red Collared Lorikeet,CKRC288,Female,Proven,
Lorykeet,Lory Aviary,D42,Red Collared Lorikeet,CKRC281,Male,Proven,
Lorikeet,Garden,D43,Swainson's Lorikeet,CKR A 443,Male,Proven,
Lorikeet,Garden,D43,Swainson's Lorikeet,GFC 498,Female,Proven,
Lorykeet,Lory Aviary,D44,Red Collared Lorikeet,CKRC199,Female,Proven,
Lorykeet,Lory Aviary,D44,Red Collared Lorikeet,CKRC 206,male,Proven,
Lorikeet,Garden,D45,Green Napped Lorikeet,YUV 293,Female,Proven,
Lorikeet,Garden,D45,Swainson's Lorikeet,CKR C 197,Male,Proven,
Lorikeet,Garden,D46,Red Collared Lorikeet,MVF 845,Male,Proven,
Lorikeet,Garden,D46,Red Collared Lorikeet,BB 858/ 11-126,Female,Proven,
Lory,Garden,D47,Red Lory ,217,Male,Proven,
Lory,Garden,D47,Red Lory ,ABW 3921,Female,Proven,
Lorikeet,Garden,D48,Red Collared Lorikeet,CKRC303,Male,Proven,
Lorikeet,Garden,D48,Red Collared Lorikeet,CKRC291,Female,Proven,
Lorikeet,Lory Aviary,E01,Swainson's lorikeet,SLEEJA 277,Male,Non proven,
Lorikeet,Lory Aviary,E01,Swainson's lorikeet,CKRD 1406,Female,Non proven,
Lory ,Lory Aviary,E02,Duyvenbode Lory,395,Male,Proven,
Lory ,Lory Aviary,E02,Duyvenbode Lory,392,Female,Proven,
Lory ,Lory Aviary,E03,Yellow Bibbed Lory,MAR 083,Male,Proven,
Lory ,Lory Aviary,E03,Yellow Bibbed Lory,CKR 236,Female,Proven,
Lorikeet,Lory Aviary,E04,Swainson's lorikeet,CKRC 241,Female,Proven,
Lorikeet,Lory Aviary,E04,Swainson's lorikeet,CKRC 365,Male,Proven,
Lorikeet,Lory Aviary,E05,Red Collared Lorikeet,CKRB 149,Female,Non proven,
Lorikeet,Lory Aviary,E05,Red Collared Lorikeet,CKRC 225,Male,Non proven,
Lory ,Lory Aviary,E06,Chattering lory,CKRC 399,Female,Non proven,
Lory ,Lory Aviary,E06,Chattering lory,CKRC 395,Male,Non proven,
Lorikeet,Lory Aviary,E07,Swainson's lorikeet,CKRD 1407,Male,Non proven,
Lorikeet,Lory Aviary,E07,swainson's lorikeet,CKRD 1487,Female,Non proven,
Lory ,Lory Aviary,E08,Yellow Bibbed Lory,CKRB 123,,Proven,
Lory ,Lory Aviary,E08,Yellow Bibbed Lory,CKRB 438,,Proven,
Lory ,Lory Aviary,E09,Black Capped Lory,Sunil 637,Female,Non proven,
Lory ,Lory Aviary,E09,Black Capped Lory,Sunil 664,Male,Non proven,
Lorikeet,Lory Aviary,E10,Swainson's lorikeet,CKRC 369,Male,Proven,
Lorikeet,Lory Aviary,E10,Swainson's lorikeet,CKRC 263,Female,proven,
Lorikeet,Lory Aviary,E11,Red Collared Lorikeet,NJB 119,Male,Non proven,
Lorikeet,Lory Aviary,E11,Red Collared Lorikeet,NJB 118,Female,Non proven,
Lorikeet,Lory Aviary,E12,Olive Swainson Lorikeet,PSNZ 84,,Proven,
Lorikeet,Lory Aviary,E12,Olive Swainson Lorikeet,No Ring (Splay leg),Male,Proven,
Lory,Lory Aviary,E13,Red Lory,TER22824,Female,Non proven,
Lory,Lory Aviary,E13,Red Lory,22835,Male,Non proven,
Lorikeet,Lory Aviary,E14,Swainson's lorikeet,No Ring,Female,Proven,
Lorikeet,Lory Aviary,E14,Swainson's lorikeet,CKRC 272,Male,Proven,
Lory,Lory Aviary,E15,Red Lory,5153,Female,Proven,
Lory,Lory Aviary,E15,Red Lory,ABW 5141,Male,Proven,
Lorikeet,Lory Aviary,E16,Green Napped Lorikeet,ACE IND 151,Female,Proven,
Lorikeet,Lory Aviary,E16,Green Napped Lorikeet,CKRC 322,Male,Proven,
Lory,Lory Aviary,E17,Black Capped Lory,290,Female,Non proven,
Lory,Lory Aviary,E17,Black Capped Lory,162,Male,Non proven,
Lory,Lory Aviary,E18,Red Lory,207,Male,Proven,
Lory,Lory Aviary,E18,Red Lory,220,Female,Proven,
Lory,Lory Aviary,E19,Black capped lory,Sunil 692,Male,Proven,
Lory,Lory Aviary,E19,Chattering lory,JP 514,Female,Proven,
Lory,Lory Aviary,E20,Swainson's Lorikeet,CKRD1405,Female,Proven,
Lory,Lory Aviary,E20,Swainson's Lorikeet,CKRD1572,Male,Proven,
Lory,Lory Aviary,E21,Swainson's Lorikeet,CKRD1489,Female,Proven,
Lory,Lory Aviary,E21,Swainson's Lorikeet,CKRC249,Male,Proven,
Lory,Lory Aviary,E22,Swainson Lory,CKRB 141,Male,Proven,
Lory,Lory Aviary,E22,Swainson Lory,CKR B 092,Female,Proven,
Lory,Lory Aviary,E23,Red Lory,ABW 5160,Female,Proven,
Lory,Lory Aviary,E23,Red Lory,ABW 5142,Male,Proven,
Lory,Lory Aviary,E24,Red collared lory,4l 7858,Female,Proven,
Lory,Lory Aviary,E24,Red collared lory,GYYY O 5078,Male,Proven,
Lory,Lory Aviary,E25,Red collared lory,YO 5067,Female,Proven,
Lory,Lory Aviary,E25,Red collared lory,YMSBRC 773,Male,Proven,
Lory,Lory Aviary,E26,Black capped lory,SUNIL 618,Female,Proven,
Lory,Lory Aviary,E26,Black capped lory,SUNIL 681,Male,Proven,
Lory,Lory Aviary,E27,Red Lory,ABW 4849,Male,Proven,
Lory,Lory Aviary,E27,Red Lory,ABW 5154,Female,Proven,
Lory,Lory Aviary,E28,Swainson Lory,CKR B 107,Female,Proven,
Lory,Lory Aviary,E28,Swainson Lory,CKR 364,Male,Proven,
Lorikeet,Lory Aviary,E29,Red Collared Lorikeet,CKRC208,Female,Proven,
Lorikeet,Lory Aviary,E29,Red Collared Lorikeet,CKRC204,male,proven,
Lory,Lory Aviary,E30,Red Lory,ABW 5145,Male,Proven,
Lory,Lory Aviary,E30,Red Lory,ABW 5158,Female,Proven,
Lorikeet,Lory Aviary,E31,Olive swainson lorikeet,CKR C 230, ,Proven,
Lorikeet,Lory Aviary,E31,Swainson's Lorikeet,CKR C 266, ,Proven,
Lory,Lory Aviary,E32,Red Lory,ABW 5161,Male,Proven,
Lory,Lory Aviary,E32,Red Lory,202,Male,Proven,
Lorikeet,Lory Aviary,E33,Scaly breasted Lorikeet ,CKR A 127,Male,Proven,
Lorikeet,Lory Aviary,E33,Scaly breasted Lorikeet ,CKR 0110,Female,Proven,
Lorikeet,Lory Aviary,E34,Swainson's Lorikeet,CKR 221,Male,Proven,
Lorikeet,Lory Aviary,E34,Swainson's Lorikeet,CKR 361,Female,Proven,
Lorikeet,Lory Aviary,E35,Red Collared Lorikeet,CKRD1478,Male,Proven,
Lorikeet,Lory Aviary,E35,Red Collared Lorikeet,CKRD1583,Female,Proven,
Lorikeet,Lory Aviary,E36,Olive swainson lorikeet,CKR B 114,Female,Proven,
Lorikeet,Lory Aviary,E36,Swainson's Lorikeet,CKRD1476,Male,Proven,
Lorikeet,Lory Aviary,E37,Green Napped Lorikeet,YUV 304,Male,Proven,
Lorikeet,Lory Aviary,E37,Green Napped Lorikeet,YUV 398,Female,Proven,
Lorikeet,Lory Aviary,E38,Swainson's Lorikeet,CKR 316,Female,Proven,
Lorikeet,Lory Aviary,E38,Swainson's Lorikeet,CKR 248,Male,Proven,
Lory,Lory Aviary,E39,Red Lory,PABW 324,Female,Proven,
Lory,Lory Aviary,E39,Red Lory,YUV 40,Male,Proven,
Lorikeet,Lory Aviary,E40,Swainson's Lorikeet,CKR C 411,Female,Proven,
Lorikeet,Lory Aviary,E40,Swainson's Lorikeet,CKR C 309,Male,Proven,
Lorikeet,Lory Aviary,E41,Red Collared Lorikeet,SVC107,Male,Proven,
Lorikeet,Lory Aviary,E41,Red Collared Lorikeet,7B3328,Female,Proven,
Lory,Lory Aviary,E42,Swainson Lory,CKRA 438,,Proven,
Lory,Lory Aviary,E42,Swainson Lory,CKRA 435,,Proven,
Lory,Lory Aviary,E43,Red collared lory,CKRC 315,,Proven,
Lory,Lory Aviary,E43,Red collared lory,CKRC 294,,Proven,
Lorikeet,Garden,E44,Green Napped Lorikeet,CKR 354,Female,Proven,
Lorikeet,Garden,E44,Green Napped Lorikeet,CKR 073,Male,Proven,
Lorikeet,Garden,E45,Scaly breasted Lorikeet ,AP 8377,Female,Proven,
Lorikeet,Garden,E45,Scaly breasted Lorikeet (Olive),TC 6A Q 238,Male,Proven,
Lorikeet,Garden,E46,Green Napped Lorikeet,KOA J1600,Male,Proven,
Lorikeet,Garden,E46,Green Napped Lorikeet,ACE IND 87,Female,Proven,
Lorikeet,Garden,E47,Red Collared Lorikeet,CKRD1589,Male,Proven,
Lorikeet,Garden,E47,Red Collared Lorikeet,CKRC222,Female,Proven,
Lorikeet,Garden,E48,Green Napped Lorikeet,CKR 351,Female,Proven,
Lorikeet,Garden,E48,Green Napped Lorikeet,CKR 156,Male,Proven,
Lory,Lory Aviary,F01,Black capped lory,3037,Male,Semi Adult,
Lory,Lory Aviary,F01,Black capped lory,2437,Female,Semi Adult,
Lory,Lory Aviary,F02,Red Lory ,CKRD 1602,Female,Semi Adult,
Lory,Lory Aviary,F02,Red Lory ,CKRD 1609,Male,Semi Adult,
Lory,Lory Aviary,F03,Olive Swainson Lory,CKRE 1230,Male,Semi Adult,
Lory,Lory Aviary,F03,Swainson Lory,CKRF 180,Female,Semi Adult,
Lory,Lory Aviary,F04,Red Lory ,CKRD 388,Female,Semi Adult,
Lory,Lory Aviary,F04,Red Lory ,CKRF 389,Male,Semi Adult,
Lorikeet,Garden,F05,Red Collared Lorikeet,CKRC306,Male,Proven,
Lorikeet,Garden,F05,Red Collared Lorikeet,CKRC279,Female,Proven,
Lory,Lory Aviary,F06,Red Lory ,CKRD 681,Female,Semi Adult,
Lory,Lory Aviary,F06,Red Lory ,CKRD 678,Male,Semi Adult,
Lory,Lory Aviary,F07,Swainson Lory,CKRF 136,Female,Semi Adult,
Lory,Lory Aviary,F07,Olive Swainson Lory,CKRF 399,Male,Semi Adult,
Lory,Lory Aviary,F08,Red Lory ,CKRD 1443,Male,Semi Adult,
Lorykeet,Lory Aviary,F09,Olive swainson lorikeet,7K8807,Male,Semi Adult,
Lory,Lory Aviary,F10,Red Lory ,PABW 375,Female,Semi Adult,
Lory ,Lory Aviary,F10,Red Lory,YUV 39,Male,Semi Adult,
Lory,Lory Aviary,F11,Olive Swainson Lory,CKRE 1950,Female,Semi Adult,
Lory,Lory Aviary,F12,Red Lory ,221,Female,Semi Adult,
Lory,Lory Aviary,F13,Black capped lory,249,Male,Semi Adult,
Lory,Lory Aviary,F14,Olive Swainson Lory,CKRF 383,Female,Semi Adult,
Lory,Lory Aviary,F14,Olive Swainson Lory,CKRF 387,Male,Semi Adult,
Lory,Lory Aviary,F15,Red Lory ,CKRF 1011,Female,Semi Adult,
Lory,Lory Aviary,F15,Red Lory ,CKRD 637,Male,Semi Adult,
Lory,Lory Aviary,F16,Swainson Lory,CKRF 337,Female,Semi Adult,
Lory,Lory Aviary,F16,Swainson Lory,CKRF 072,Male,Semi Adult,
Lory,Lory Aviary,F17,Red collared lory,CKRF 497,Female,Semi Adult,
Lory,Lory Aviary,F17,Red collared lory,CKRF 475,Male,Semi Adult,
Lory,Lory Aviary,F19,Red collared lory,CKRF 338,Female,Semi Adult,
Lory,Lory Aviary,F19,Red collared lory,CKRF 336,Male,Semi Adult,
Lory,Lory Aviary,F20,Swainson Lory,CKRD 694,Female,Semi Adult,
Lory,Lory Aviary,F21,Red collared lory,CKRF 335,Male,Semi Adult,
Lory,Lory Aviary,F21,Red collared lory,CKRF 340,Female,Semi Adult,
Lorykeet,Lory Aviary,F22,Olive red collar lorikeet,TK9114,Male,Semi Adult,
Lorikeet,Lory Aviary,F22,Olive Redcollar lorikeet,TK 9079,Female,Semi Adult,
Lory,Lory Aviary,F23,Olive Swainson Lory,CKRD 572,Female,Semi Adult,
Lorykeet,Lory Aviary,F24,Red Collared Lorikeet,ACEIND 115,Female,Semi Adult,
Lory,Lory Aviary,F24,Red collared lory,CKRE 1894,Male,Semi Adult,
Lorikeet,Lory Aviary,F25,Olive swainson lorikeet,CKRD 579,Female,Semi Adult,
Lorikeet,Lory Aviary,F25,Olive swainson lorikeet,7L 6689,Male,Semi Adult,
Lory,Lory Aviary,F26,Red Lory ,CKRD 508,Male,Semi Adult,
Lory,Lory Aviary,F26,Red Lory ,CKRD 680,Female,Semi Adult,
Lorykeet,Lory Aviary,F27,Red Collared Lorikeet,TWN131013,Female,Semi Adult,
Lory,Lory Aviary,F27,Red collared lory,CKRE 1215,Male,Semi Adult,
Lorykeet,Lory Aviary,F28,Olive swainson lorikeet,T066D159,Male,Semi Adult,
Lory,Lory Aviary,F29,Red Lory ,CKRD 661,Female,Semi Adult,
Lory,Lory Aviary,F29,Red Lory ,ACIND163,Male,Semi Adult,
Lorikeet,Lory Aviary,F30,Swainson's Lorikeet,CKRC 248,Male,Semi Adult,
Lorikeet,Lory Aviary,F30,Swainson's Lorikeet,ACE IND 148,Female,Semi Adult,
Lory,Lory Aviary,F31,Red collared lory,CKRE 1853,Male,Semi Adult,
Lorykeet,Lory Aviary,F31,Red Collared Lorikeet,CKR 1941,Female,Semi Adult,
Lory,Lory Aviary,F32,Red Lory ,CKRD 1526,Male,Semi Adult,
Lory,Lory Aviary,F32,Red Lory ,CKRD 660,Female,Semi Adult,
Lorikeet,Lory Aviary,F33,Olive swainson lorikeet,CKRD 1576,Male,Semi Adult,
Lorikeet,Lory Aviary,F33,Olive swainson lorikeet,7 L6697,Female,Semi Adult,
